"","Tract","Discon","Pathway"
"1","AC",99.9058380414313,"Commissural"
"2","AF_L",70.3986429177269,"Association"
"3","AF_R",0,"Association"
"4","AR_L",99.911190053286,"Projection"
"5","AR_R",0,"Projection"
"6","C_L",0,"Association"
"7","C_R",0,"Association"
"8","CB_L",0,"Cerebellum"
"9","CB_R",0,"Cerebellum"
"10","CCAnterior",15.6988574111755,"Commissural"
"11","CCCentral",23.6229205175601,"Commissural"
"12","CCMidAnterior",35.1371664787674,"Commissural"
"13","CCMidPosterior",1.94756554307116,"Commissural"
"14","CCPosterior",28.031433041074,"Commissural"
"15","CS_L",90.448476549127,"Projection"
"16","CS_R",0,"Projection"
"17","CST_L",100,"Projection"
"18","CST_R",0,"Projection"
"19","CT_L",95.9588881102546,"Projection"
"20","CT_R",0,"Projection"
"21","CTT_L",0,"Brainstem"
"22","CTT_R",0,"Brainstem"
"23","DLF_L",0,"Brainstem"
"24","DLF_R",0,"Brainstem"
"25","EMC_L",100,"Association"
"26","EMC_R",0,"Association"
"27","F_L",90.2777777777778,"Projection"
"28","F_R",0,"Projection"
"29","FAT_L",80.4243008678881,"Association"
"30","FAT_R",0,"Association"
"31","FPT_L",100,"Projection"
"32","FPT_R",0,"Projection"
"33","ICP_L",0,"Cerebellum"
"34","ICP_R",0,"Cerebellum"
"35","IFOF_L",100,"Association"
"36","IFOF_R",0,"Association"
"37","ILF_L",72.258064516129,"Association"
"38","ILF_R",0,"Association"
"39","LL_L",0,"Brainstem"
"40","LL_R",0,"Brainstem"
"41","MCP",0,"Cerebellum"
"42","MdLF_L",100,"Association"
"43","MdLF_R",0,"Association"
"44","ML_L",23.3009708737864,"Brainstem"
"45","ML_R",0,"Brainstem"
"46","MLF_L",0,"Brainstem"
"47","MLF_R",0,"Brainstem"
"48","OPT_L",100,"Projection"
"49","OPT_R",0,"Projection"
"50","OR_L",99.5918367346939,"Projection"
"51","OR_R",0,"Projection"
"52","PC",0,"Commissural"
"53","PPT_L",100,"Projection"
"54","PPT_R",0,"Projection"
"55","RST_L",0,"Brainstem"
"56","RST_R",0,"Brainstem"
"57","SCP",25.3561253561254,"Cerebellum"
"58","SLF_L",10.5188005711566,"Association"
"59","SLF_R",0,"Association"
"60","STT_L",11.7948717948718,"Brainstem"
"61","STT_R",0,"Brainstem"
"62","TPT_L",100,"Projection"
"63","TPT_R",0,"Projection"
"64","U_L",21.8894636536891,"Association"
"65","U_R",0,"Association"
"66","UF_L",87.589928057554,"Association"
"67","UF_R",0,"Association"
"68","V",0,"Cerebellum"
"69","VOF_L",0,"Association"
"70","VOF_R",0,"Association"
